route_id,nlp_biswanath,nlp_biswanath chariali,nlp_bus,nlp_bus journey,nlp_chariali,nlp_chariali dibrugarh,nlp_chariali weather,nlp_clear,nlp_clear traffic,nlp_cloudy,nlp_cloudy traffic,nlp_condition,nlp_condition clear,nlp_condition cloudy,nlp_condition heavy,nlp_condition light,nlp_condition low,nlp_condition moderate,nlp_condition rain,nlp_condition storm,nlp_congestion,nlp_congestion travel,nlp_day,nlp_dibrugarh,nlp_dibrugarh biswanath,nlp_dibrugarh guwahati,nlp_dibrugarh weather,nlp_guwahati,nlp_guwahati dibrugarh,nlp_guwahati haflong,nlp_guwahati jorhat,nlp_guwahati nagaon,nlp_guwahati weather,nlp_haflong,nlp_haflong guwahati,nlp_haflong weather,nlp_heavy,nlp_heavy rain,nlp_heavy traffic,nlp_holiday,nlp_holiday travel,nlp_jorhat,nlp_jorhat guwahati,nlp_jorhat nagaon,nlp_jorhat weather,nlp_journey,nlp_journey biswanath,nlp_journey dibrugarh,nlp_journey guwahati,nlp_journey haflong,nlp_journey jorhat,nlp_journey margherita,nlp_journey nagaon,nlp_journey tinsukia,nlp_light,nlp_light traffic,nlp_low,nlp_low traffic,nlp_margherita,nlp_margherita nagaon,nlp_margherita weather,nlp_moderate,nlp_moderate traffic,nlp_nagaon,nlp_nagaon guwahati,nlp_nagaon jorhat,nlp_nagaon margherita,nlp_nagaon tinsukia,nlp_nagaon weather,nlp_normal,nlp_normal working,nlp_occurs,nlp_occurs holiday,nlp_occurs normal,nlp_rain,nlp_rain traffic,nlp_storm,nlp_storm traffic,nlp_tinsukia,nlp_tinsukia nagaon,nlp_tinsukia weather,nlp_traffic,nlp_traffic condition,nlp_traffic congestion,nlp_traffic travel,nlp_travel,nlp_travel occurs,nlp_weather,nlp_weather condition,nlp_working,nlp_working day
ASTC002,0.0,0.0,0.10046358047680104,0.10046358047680104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20092716095360208,0.0,0.0,0.2628792843901689,0.0,0.0,0.0,0.2579439315370144,0.0,0.11075649765433891,0.11075649765433891,0.11095700159588757,0.0,0.0,0.0,0.0,0.17108882831759809,0.0,0.0,0.0,0.3757077556651439,0.0,0.0,0.0,0.0,0.2628792843901689,0.0,0.32132523318049516,0.0,0.0,0.0,0.0,0.0,0.0,0.10046358047680104,0.0,0.0,0.23991663675627328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16888163072170456,0.0,0.0,0.0,0.0,0.2384779928814417,0.11095700159588757,0.11095700159588757,0.10046358047680104,0.0,0.11095700159588757,0.2195153310007276,0.2195153310007276,0.0,0.0,0.0,0.0,0.0,0.20092716095360208,0.10046358047680104,0.11075649765433891,0.0,0.10046358047680104,0.10046358047680104,0.10046358047680104,0.10046358047680104,0.11095700159588757,0.11095700159588757
ASTC013,0.0,0.0,0.10380979484606916,0.10380979484606916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2076195896921383,0.0,0.0,0.0,0.0,0.0,0.19905436935870258,0.2665354597911162,0.0,0.11444554578682449,0.11444554578682449,0.11465272806063168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24958480957855733,0.0,0.0,0.32187897076462224,0.10380979484606916,0.0,0.0,0.0,0.0,0.0,0.0,0.24642115479889265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19905436935870258,0.19905436935870258,0.17450669541424646,0.0,0.3856819143738749,0.0,0.0,0.0,0.11465272806063168,0.11465272806063168,0.10380979484606916,0.0,0.11465272806063168,0.2268268895912449,0.2268268895912449,0.0,0.0,0.0,0.0,0.0,0.2076195896921383,0.10380979484606916,0.11444554578682449,0.0,0.10380979484606916,0.10380979484606916,0.10380979484606916,0.10380979484606916,0.11465272806063168,0.11465272806063168
ASTC011,0.0,0.0,0.1050397366158097,0.1050397366158097,0.0,0.0,0.0,0.21545389597637282,0.21545389597637282,0.0,0.0,0.2100794732316194,0.21545389597637282,0.0,0.0,0.0,0.0,0.2014127718937106,0.0,0.0,0.11580150027390053,0.11580150027390053,0.1160111372499146,0.0,0.0,0.0,0.0,0.17888199264944438,0.0,0.0,0.4070800392527336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525418983855297,0.0,0.0,0.3256926031056893,0.1050397366158097,0.0,0.0,0.25084493519966844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014127718937106,0.2014127718937106,0.0,0.0,0.0,0.0,0.0,0.0,0.1160111372499146,0.1160111372499146,0.1050397366158097,0.0,0.1160111372499146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2100794732316194,0.1050397366158097,0.11580150027390053,0.0,0.1050397366158097,0.1050397366158097,0.1050397366158097,0.1050397366158097,0.1160111372499146,0.1160111372499146
ASTC008,0.0,0.0,0.10582521016979297,0.10582521016979297,0.0,0.0,0.0,0.21706503232195495,0.21706503232195495,0.0,0.0,0.21165042033958595,0.21706503232195495,0.0,0.0,0.0,0.0,0.2029189105308972,0.0,0.0,0.11666744890350748,0.11666744890350748,0.11687865351769261,0.25196029721169655,0.0,0.0,0.3267537175376547,0.18021964903584492,0.3941332500102352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10582521016979297,0.0,0.0,0.2527207211555172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2029189105308972,0.2029189105308972,0.0,0.0,0.0,0.0,0.0,0.0,0.11687865351769261,0.11687865351769261,0.10582521016979297,0.0,0.11687865351769261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21165042033958595,0.10582521016979297,0.11666744890350748,0.0,0.10582521016979297,0.10582521016979297,0.10582521016979297,0.10582521016979297,0.11687865351769261,0.11687865351769261
ASTC007,0.0,0.0,0.10564973957962147,0.10564973957962147,0.0,0.0,0.0,0.2167051130809157,0.2167051130809157,0.0,0.0,0.21129947915924294,0.2167051130809157,0.0,0.0,0.0,0.0,0.20258244721624197,0.0,0.0,0.11647400061193257,0.11647400061193257,0.11668485502413616,0.25154251753537377,0.0,0.3991024836245816,0.0,0.17992082375474144,0.0,0.0,0.0,0.0,0.2539224996807662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10564973957962147,0.0,0.32318835228479825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20258244721624197,0.20258244721624197,0.0,0.0,0.0,0.0,0.0,0.0,0.11668485502413616,0.11668485502413616,0.10564973957962147,0.0,0.11668485502413616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21129947915924294,0.10564973957962147,0.11647400061193257,0.0,0.10564973957962147,0.10564973957962147,0.10564973957962147,0.10564973957962147,0.11668485502413616,0.11668485502413616
ASTC014,0.0,0.0,0.09873168076869802,0.09873168076869802,0.0,0.0,0.0,0.20251502872399446,0.20251502872399446,0.0,0.0,0.19746336153739605,0.20251502872399446,0.0,0.25834748735744417,0.0,0.0,0.0,0.0,0.0,0.10884715752284363,0.10884715752284363,0.10904420496088929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25834748735744417,0.0,0.31578588175672284,0.0,0.0,0.23737574841146597,0.0,0.37296882286700195,0.0,0.09873168076869802,0.0,0.0,0.0,0.0,0.30533010690179446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16597026676709792,0.0,0.0,0.0,0.0,0.23436685166688248,0.10904420496088929,0.10904420496088929,0.09873168076869802,0.0,0.10904420496088929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19746336153739605,0.09873168076869802,0.10884715752284363,0.0,0.09873168076869802,0.09873168076869802,0.09873168076869802,0.09873168076869802,0.10904420496088929,0.10904420496088929
ASTC002,0.0,0.0,0.10121172635075631,0.10121172635075631,0.0,0.0,0.0,0.0,0.0,0.2239010826410769,0.2239010826410769,0.20242345270151263,0.0,0.2239010826410769,0.26483692964859396,0.0,0.0,0.0,0.0,0.0,0.1115812942257986,0.1115812942257986,0.11178329130740727,0.0,0.0,0.0,0.0,0.1723629159061368,0.0,0.0,0.0,0.3785056273503839,0.0,0.0,0.0,0.0,0.26483692964859396,0.0,0.323718121690548,0.0,0.0,0.0,0.0,0.0,0.0,0.10121172635075631,0.0,0.0,0.24170328064284946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17013928145057197,0.0,0.0,0.0,0.0,0.2402539232788715,0.11178329130740727,0.11178329130740727,0.10121172635075631,0.0,0.11178329130740727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20242345270151263,0.10121172635075631,0.1115812942257986,0.0,0.10121172635075631,0.10121172635075631,0.10121172635075631,0.10121172635075631,0.11178329130740727,0.11178329130740727
ASTC012,0.0,0.0,0.08888413089298122,0.08888413089298122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17776826178596244,0.0,0.0,0.0,0.172005368243711,0.0,0.0,0.0,0.35917451722784227,0.09799068466437655,0.09799068466437655,0.09816807848709906,0.0,0.0,0.0,0.0,0.15136910050722097,0.0,0.0,0.0,0.0,0.2136274143987726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21369976615766623,0.33691933560764836,0.0,0.0,0.08888413089298122,0.0,0.0,0.0,0.0,0.27487632111729654,0.0,0.0,0.0,0.172005368243711,0.172005368243711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09816807848709906,0.09816807848709906,0.08888413089298122,0.0,0.09816807848709906,0.0,0.0,0.35917451722784227,0.35917451722784227,0.0,0.0,0.0,0.17776826178596244,0.08888413089298122,0.09799068466437655,0.0,0.08888413089298122,0.08888413089298122,0.08888413089298122,0.08888413089298122,0.09816807848709906,0.09816807848709906
ASTC004,0.0,0.0,0.1010771366041015,0.1010771366041015,0.0,0.0,0.0,0.2073259470855523,0.2073259470855523,0.0,0.0,0.202154273208203,0.2073259470855523,0.0,0.0,0.0,0.0,0.19381452119375528,0.0,0.0,0.11143291519243224,0.11143291519243224,0.1116346436615291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1010771366041015,0.0,0.0,0.0,0.0,0.0,0.38150453197044193,0.0,0.0,0.0,0.0,0.0,0.0,0.3084114561087953,0.38150453197044193,0.0,0.19381452119375528,0.19381452119375528,0.1699130329355817,0.0,0.0,0.0,0.0,0.23993443742646278,0.1116346436615291,0.1116346436615291,0.1010771366041015,0.0,0.1116346436615291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202154273208203,0.1010771366041015,0.11143291519243224,0.0,0.1010771366041015,0.1010771366041015,0.1010771366041015,0.1010771366041015,0.1116346436615291,0.1116346436615291
ASTC002,0.0,0.0,0.09437827505400524,0.09437827505400524,0.0,0.0,0.0,0.19358547261298653,0.19358547261298653,0.0,0.0,0.18875655010801048,0.19358547261298653,0.0,0.0,0.0,0.31400386048463014,0.0,0.0,0.0,0.0,0.0,0.10423608601330453,0.0,0.0,0.0,0.0,0.16072559250816687,0.0,0.0,0.0,0.3529502904017643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09437827505400524,0.0,0.0,0.2253843455145828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31400386048463014,0.31400386048463014,0.0,0.0,0.0,0.0,0.0,0.15865208984366763,0.0,0.0,0.0,0.0,0.22403284354064143,0.10423608601330453,0.10423608601330453,0.09437827505400524,0.0,0.10423608601330453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18875655010801048,0.09437827505400524,0.0,0.31400386048463014,0.09437827505400524,0.09437827505400524,0.09437827505400524,0.09437827505400524,0.10423608601330453,0.10423608601330453
